champion,champion_id,skin_id,skin_num,skin_name,chromas,patch
Alistar,12,12006,6,Infernal Alistar,False,16.1.1
Alistar,12,12007,7,Sweeper Alistar,False,16.1.1
Alistar,12,12008,8,Marauder Alistar,False,16.1.1
Alistar,12,12009,9,SKT T1 Alistar,False,16.1.1
Alistar,12,12010,10,Moo Cow Alistar,True,16.1.1
Alistar,12,12019,19,Hextech Alistar,False,16.1.1
Alistar,12,12020,20,Conqueror Alistar,True,16.1.1
Alistar,12,12022,22,Blackfrost Alistar,True,16.1.1
Alistar,12,12029,29,Lunar Beast Alistar,True,16.1.1
Alistar,12,12040,40,Elderwood Alistar,False,16.1.1
Ambessa,799,799000,0,default,False,16.1.1
Ambessa,799,799001,1,Chosen of the Wolf Ambessa,True,16.1.1
Amumu,32,32000,0,default,False,16.1.1
Amumu,32,32001,1,Pharaoh Amumu,False,16.1.1
Amumu,32,32002,2,Vancouver Amumu,False,16.1.1
Amumu,32,32003,3,Emumu,False,16.1.1
Amumu,32,32004,4,Re-Gifted Amumu,False,16.1.1
Amumu,32,32005,5,Almost-Prom King Amumu,False,16.1.1
Amumu,32,32006,6,Little Knight Amumu,False,16.1.1
Amumu,32,32007,7,Sad Robot Amumu,False,16.1.1
Amumu,32,32008,8,Surprise Party Amumu,True,16.1.1
Amumu,32,32017,17,Infernal Amumu,True,16.1.1
Amumu,32,32023,23,Hextech Amumu,False,16.1.1
Amumu,32,32024,24,Pumpkin Prince Amumu,True,16.1.1
Amumu,32,32034,34,Porcelain Amumu,True,16.1.1
Amumu,32,32044,44,Heartache Amumu,True,16.1.1
Amumu,32,32053,53,Dumpling Darlings Amumu,True,16.1.1
Anivia,34,34000,0,default,False,16.1.1
Anivia,34,34001,1,Team Spirit Anivia,False,16.1.1
Anivia,34,34002,2,Bird of Prey Anivia,False,16.1.1
Anivia,34,34003,3,Noxus Hunter Anivia,False,16.1.1
Anivia,34,34004,4,Hextech Anivia,False,16.1.1
Anivia,34,34005,5,Blackfrost Anivia,False,16.1.1
Anivia,34,34006,6,Prehistoric Anivia,False,16.1.1
Anivia,34,34007,7,Festival Queen Anivia,False,16.1.1
Anivia,34,34008,8,Papercraft Anivia,True,16.1.1
Anivia,34,34017,17,Cosmic Flight Anivia,True,16.1.1
Anivia,34,34027,27,Divine Phoenix Anivia,True,16.1.1
Anivia,34,34037,37,Bewitching Batnivia,True,16.1.1
Anivia,34,34046,46,Victorious Anivia,True,16.1.1
Annie,1,1000,0,default,False,16.1.1
Annie,1,1001,1,Goth Annie,False,16.1.1
Annie,1,1002,2,Red Riding Annie,False,16.1.1
Annie,1,1003,3,Annie in Wonderland,False,16.1.1
Annie,1,1004,4,Prom Queen Annie,False,16.1.1
Annie,1,1005,5,Frostfire Annie,False,16.1.1
Annie,1,1006,6,Reverse Annie,False,16.1.1
Annie,1,1007,7,FrankenTibbers Annie,False,16.1.1
Annie,1,1008,8,Panda Annie,False,16.1.1
Annie,1,1009,9,Sweetheart Annie,False,16.1.1
Annie,1,1010,10,Hextech Annie,False,16.1.1
Annie,1,1011,11,Super Galaxy Annie,False,16.1.1
Annie,1,1012,12,Annie-Versary,False,16.1.1
Annie,1,1013,13,Lunar Beast Annie,True,16.1.1
Annie,1,1022,22,Cafe Cuties Annie,False,16.1.1
Annie,1,1031,31,Fright Night Annie,False,16.1.1
Annie,1,1040,40,Winterblessed Annie,False,16.1.1
Annie,1,1050,50,Battle Princess Annie,False,16.1.1
Aphelios,523,523000,0,default,False,16.1.1
Aphelios,523,523001,1,Nightbringer Aphelios,True,16.1.1
Aphelios,523,523009,9,Lunar Beast Aphelios,True,16.1.1
Aphelios,523,523018,18,EDG Aphelios,False,16.1.1
Aphelios,523,523020,20,Spirit Blossom Aphelios,False,16.1.1
Aphelios,523,523030,30,HEARTSTEEL Aphelios,False,16.1.1
Aphelios,523,523040,40,Prestige Spirit Blossom Springs Aphelios,False,16.1.1
Ashe,22,22000,0,default,False,16.1.1
Ashe,22,22001,1,Freljord Ashe,False,16.1.1
Ashe,22,22002,2,Sherwood Forest Ashe,False,16.1.1
Ashe,22,22003,3,Woad Ashe,False,16.1.1
Ashe,22,22004,4,Queen Ashe,False,16.1.1
Ashe,22,22005,5,Amethyst Ashe,False,16.1.1
Ashe,22,22006,6,Heartseeker Ashe,False,16.1.1
Ashe,22,22007,7,Marauder Ashe,False,16.1.1
Ashe,22,22008,8,PROJECT: Ashe,True,16.1.1
Ashe,22,22009,9,Worlds 2017 Ashe,True,16.1.1
Ashe,22,22011,11,Cosmic Queen Ashe,True,16.1.1
Ashe,22,22017,17,High Noon Ashe,True,16.1.1
Ashe,22,22023,23,Fae Dragon Ashe,True,16.1.1
Ashe,22,22032,32,Coven Ashe,True,16.1.1
Ashe,22,22043,43,Ocean Song Ashe,True,16.1.1
Ashe,22,22052,52,Lunar Empress Ashe,True,16.1.1
Ashe,22,22063,63,DRX Ashe,True,16.1.1
Ashe,22,22065,65,Crystalis Motus Ashe,True,16.1.1
Ashe,22,22067,67,Infernal Ashe,True,16.1.1
Ashe,22,22076,76,Spirit Blossom Ashe,True,16.1.1
AurelionSol,136,136000,0,default,False,16.1.1
AurelionSol,136,136001,1,Ashen Lord Aurelion Sol,False,16.1.1
AurelionSol,136,136002,2,Mecha Aurelion Sol,True,16.1.1
AurelionSol,136,136011,11,Storm Dragon Aurelion Sol,False,16.1.1
AurelionSol,136,136021,21,Inkshadow Aurelion Sol,False,16.1.1
AurelionSol,136,136031,31,Porcelain Protector Aurelion Sol,False,16.1.1
Aurora,893,893000,0,default,False,16.1.1
Aurora,893,893001,1,Battle Bunny Aurora,True,16.1.1
Aurora,893,893011,11,Arcana Aurora,True,16.1.1
Azir,268,268000,0,default,False,16.1.1
Azir,268,268001,1,Galactic Azir,False,16.1.1
Azir,268,268002,2,Gravelord Azir,False,16.1.1
Azir,268,268003,3,SKT T1 Azir,False,16.1.1
Azir,268,268004,4,Warring Kingdoms Azir,False,16.1.1
Azir,268,268005,5,Elderwood Azir,True,16.1.1
Azir,268,268014,14,Worlds 2022 Azir,True,16.1.1
Azir,268,268019,19,Attorney Azir,True,16.1.1
Bard,432,432000,0,default,True,16.1.1
Bard,432,432001,1,Elderwood Bard,False,16.1.1
Bard,432,432005,5,Snow Day Bard,True,16.1.1
Bard,432,432006,6,Bard Bard,False,16.1.1
Bard,432,432008,8,Astronaut Bard,True,16.1.1
Bard,432,432017,17,Cafe Cuties Bard,True,16.1.1
Bard,432,432026,26,Shan Hai Scrolls Bard,True,16.1.1
Bard,432,432035,35,T1 Bard,True,16.1.1
Bard,432,432037,37,Spirit Blossom Bard,True,16.1.1
Belveth,200,200000,0,default,False,16.1.1
Belveth,200,200001,1,Battle Boss Bel'Veth,True,16.1.1
Belveth,200,200010,10,Cosmic Matriarch Bel'Veth,True,16.1.1
Belveth,200,200019,19,Primordian Bel'Veth,True,16.1.1
Blitzcrank,53,53000,0,default,True,16.1.1
Blitzcrank,53,53001,1,Rusty Blitzcrank,False,16.1.1
Blitzcrank,53,53002,2,Goalkeeper Blitzcrank,False,16.1.1
Blitzcrank,53,53003,3,Boom Boom Blitzcrank,False,16.1.1
Blitzcrank,53,53004,4,Piltover Customs Blitzcrank,False,16.1.1
Blitzcrank,53,53005,5,Definitely Not Blitzcrank,False,16.1.1
Blitzcrank,53,53006,6,iBlitzcrank,False,16.1.1
Blitzcrank,53,53007,7,Riot Blitzcrank,False,16.1.1
Blitzcrank,53,53011,11,Battle Boss Blitzcrank,True,16.1.1
Blitzcrank,53,53020,20,Lancer Rogue Blitzcrank,False,16.1.1
Blitzcrank,53,53021,21,Lancer Paragon Blitzcrank,False,16.1.1
Blitzcrank,53,53022,22,Witch's Brew Blitzcrank,True,16.1.1
Blitzcrank,53,53029,29,Space Groove Blitz & Crank,True,16.1.1
Blitzcrank,53,53036,36,Victorious Blitzcrank,True,16.1.1
Blitzcrank,53,53047,47,Zenith Games Blitzcrank,True,16.1.1
Blitzcrank,53,53056,56,Beezcrank,True,16.1.1
Brand,63,63000,0,default,False,16.1.1
Brand,63,63001,1,Apocalyptic Brand,False,16.1.1
Brand,63,63002,2,Vandal Brand,False,16.1.1
Brand,63,63003,3,Cryocore Brand,False,16.1.1
Brand,63,63004,4,Zombie Brand,True,16.1.1
Brand,63,63005,5,Spirit Fire Brand,False,16.1.1
Brand,63,63006,6,Battle Boss Brand,False,16.1.1
Brand,63,63007,7,Arclight Brand,True,16.1.1
Brand,63,63008,8,Eternal Dragon Brand,True,16.1.1
Brand,63,63021,21,Debonair Brand,True,16.1.1
Brand,63,63022,22,Prestige Debonair Brand,False,16.1.1
Brand,63,63033,33,Street Demons Brand,True,16.1.1
Brand,63,63042,42,Empyrean Brand,True,16.1.1
Braum,201,201000,0,default,False,16.1.1
Braum,201,201001,1,Dragonslayer Braum,True,16.1.1
Braum,201,201002,2,El Tigre Braum,False,16.1.1
Braum,201,201003,3,Braum Lionheart,False,16.1.1
Braum,201,201010,10,Santa Braum,False,16.1.1
Braum,201,201011,11,Crime City Braum,True,16.1.1
Braum,201,201024,24,Sugar Rush Braum,True,16.1.1
Braum,201,201033,33,Pool Party Braum,True,16.1.1
Braum,201,201042,42,Grill Master Braum,True,16.1.1
Briar,233,233000,0,default,False,16.1.1
Briar,233,233001,1,Street Demons Briar,True,16.1.1
Briar,233,233010,10,Primordian Briar,True,16.1.1
Caitlyn,51,51000,0,default,True,16.1.1
Caitlyn,51,51001,1,Resistance Caitlyn,False,16.1.1
Caitlyn,51,51002,2,Sheriff Caitlyn,False,16.1.1
Caitlyn,51,51003,3,Safari Caitlyn,False,16.1.1
Caitlyn,51,51004,4,Arctic Warfare Caitlyn,False,16.1.1
Caitlyn,51,51005,5,Officer Caitlyn,False,16.1.1
Caitlyn,51,51006,6,Headhunter Caitlyn,False,16.1.1
Caitlyn,51,51010,10,Lunar Wraith Caitlyn,True,16.1.1
Caitlyn,51,51011,11,Pulsefire Caitlyn,True,16.1.1
Caitlyn,51,51013,13,Pool Party Caitlyn,True,16.1.1
Caitlyn,51,51019,19,Arcade Caitlyn,False,16.1.1
Caitlyn,51,51020,20,Prestige Arcade Caitlyn,False,16.1.1
Caitlyn,51,51022,22,Battle Academia Caitlyn,True,16.1.1
Caitlyn,51,51028,28,Arcane Enforcer Caitlyn,False,16.1.1
Caitlyn,51,51029,29,Prestige Arcade Caitlyn (2022),False,16.1.1
Caitlyn,51,51030,30,Snow Moon Caitlyn,True,16.1.1
Caitlyn,51,51039,39,Heartthrob Caitlyn,True,16.1.1
Caitlyn,51,51048,48,DRX Caitlyn,True,16.1.1
Caitlyn,51,51050,50,Arcane Commander Caitlyn,True,16.1.1
Caitlyn,51,51051,51,Prestige Arcane Commander Caitlyn,True,16.1.1
Camille,164,164000,0,default,False,16.1.1
Camille,164,164001,1,Program Camille,False,16.1.1
Camille,164,164002,2,Coven Camille,True,16.1.1
Camille,164,164010,10,iG Camille,True,16.1.1
Camille,164,164011,11,Arcana Camille,True,16.1.1
Camille,164,164021,21,Strike Commander Camille,True,16.1.1
Camille,164,164031,31,Winterblessed Camille,True,16.1.1
Camille,164,164032,32,Prestige Winterblessed Camille,False,16.1.1
Cassiopeia,69,69000,0,default,True,16.1.1
Cassiopeia,69,69001,1,Desperada Cassiopeia,False,16.1.1
Cassiopeia,69,69002,2,Siren Cassiopeia,False,16.1.1
Cassiopeia,69,69003,3,Mythic Cassiopeia,False,16.1.1
Cassiopeia,69,69004,4,Jade Fang Cassiopeia,False,16.1.1
Cassiopeia,69,69008,8,Eternum Cassiopeia,False,16.1.1
Cassiopeia,69,69009,9,Spirit Blossom Cassiopeia,True,16.1.1
Cassiopeia,69,69018,18,Coven Cassiopeia,True,16.1.1
Cassiopeia,69,69028,28,Bewitching Cassiopeia,True,16.1.1
Cassiopeia,69,69038,38,Prestige Mythmaker Cassiopeia,False,16.1.1
Chogath,31,31000,0,default,False,16.1.1
Chogath,31,31001,1,Nightmare Cho'Gath,False,16.1.1
Chogath,31,31002,2,Gentleman Cho'Gath,False,16.1.1
Chogath,31,31003,3,Loch Ness Cho'Gath,False,16.1.1
Chogath,31,31004,4,Jurassic Cho'Gath,False,16.1.1
Chogath,31,31005,5,Battlecast Prime Cho'Gath,True,16.1.1
Chogath,31,31006,6,Prehistoric Cho'Gath,False,16.1.1
Chogath,31,31007,7,Dark Star Cho'Gath,False,16.1.1
Chogath,31,31014,14,Shan Hai Scrolls Cho'Gath,True,16.1.1
Chogath,31,31023,23,Broken Covenant Cho'Gath,True,16.1.1
Chogath,31,31032,32,Toy Terror Cho'Gath,True,16.1.1
Chogath,31,31041,41,Petricite Cho'Gath,False,16.1.1
Corki,42,42000,0,default,False,16.1.1
Corki,42,42001,1,UFO Corki,False,16.1.1
Corki,42,42002,2,Ice Toboggan Corki,False,16.1.1
Corki,42,42003,3,Red Baron Corki,False,16.1.1
Corki,42,42004,4,Hot Rod Corki,False,16.1.1
Corki,42,42005,5,Urfrider Corki,False,16.1.1
Corki,42,42006,6,Dragonwing Corki,True,16.1.1
Corki,42,42007,7,Fnatic Corki,False,16.1.1
Corki,42,42008,8,Arcade Corki,True,16.1.1
Corki,42,42018,18,Corgi Corki,True,16.1.1
Corki,42,42026,26,Astronaut Corki,True,16.1.1
Corki,42,42036,36,Brick Toy Corki,True,16.1.1
Darius,122,122000,0,default,True,16.1.1
Darius,122,122001,1,Lord Darius,False,16.1.1
Darius,122,122002,2,Bioforge Darius,False,16.1.1
Darius,122,122003,3,Woad King Darius,False,16.1.1
Darius,122,122004,4,Dunkmaster Darius,True,16.1.1
Darius,122,122008,8,Academy Darius,False,16.1.1
Darius,122,122014,14,Dreadnova Darius,False,16.1.1
Darius,122,122015,15,God-King Darius,False,16.1.1
Darius,122,122016,16,High Noon Darius,True,16.1.1
Darius,122,122024,24,Lunar Beast Darius,True,16.1.1
Darius,122,122033,33,Crime City Nightmare Darius,False,16.1.1
Darius,122,122043,43,Spirit Blossom Darius,False,16.1.1
Darius,122,122054,54,Porcelain Darius,False,16.1.1
Darius,122,122064,64,Divine God-King Darius,False,16.1.1
Darius,122,122065,65,Prestige Triumphant General Darius,False,16.1.1
Darius,122,122067,67,Mecha Kingdoms Darius,False,16.1.1
Diana,131,131000,0,default,False,16.1.1
Diana,131,131001,1,Dark Valkyrie Diana,False,16.1.1
Diana,131,131002,2,Lunar Goddess Diana,True,16.1.1
Diana,131,131003,3,Infernal Diana,False,16.1.1
Diana,131,131011,11,Blood Moon Diana,False,16.1.1
Diana,131,131012,12,Dark Waters Diana,True,16.1.1
Diana,131,131018,18,Dragonslayer Diana,True,16.1.1
Diana,131,131025,25,Battle Queen Diana,False,16.1.1
Diana,131,131026,26,Prestige Battle Queen Diana,False,16.1.1
Diana,131,131027,27,Sentinel Diana,True,16.1.1
Diana,131,131037,37,Firecracker Diana,True,16.1.1
Diana,131,131047,47,Winterblessed Diana,True,16.1.1
Diana,131,131054,54,Heavenscale Diana,True,16.1.1
Diana,131,131064,64,Dark Cosmic Diana,True,16.1.1
Diana,131,131065,65,Prestige Dark Cosmic Diana,False,16.1.1
Draven,119,119000,0,default,False,16.1.1
Draven,119,119001,1,Soul Reaver Draven,False,16.1.1
Draven,119,119002,2,Gladiator Draven,False,16.1.1
Draven,119,119003,3,Primetime Draven,True,16.1.1
Draven,119,119004,4,Pool Party Draven,False,16.1.1
Draven,119,119005,5,Beast Hunter Draven,False,16.1.1
Draven,119,119006,6,Draven Draven,False,16.1.1
Draven,119,119012,12,Santa Draven,False,16.1.1
Draven,119,119013,13,Mecha Kingdoms Draven,True,16.1.1
Draven,119,119020,20,Ruined Draven,True,16.1.1
Draven,119,119029,29,Debonair Draven,True,16.1.1
Draven,119,119039,39,Fright Night Draven,True,16.1.1
Draven,119,119048,48,La Ilusión Draven,True,16.1.1
Draven,119,119058,58,Grand Reckoning Draven,True,16.1.1
Draven,119,119068,68,Victorious Draven,True,16.1.1
DrMundo,36,36000,0,default,False,16.1.1
DrMundo,36,36001,1,Toxic Dr. Mundo,False,16.1.1
DrMundo,36,36002,2,Mr. Mundoverse,False,16.1.1
DrMundo,36,36003,3,Corporate Mundo,True,16.1.1
DrMundo,36,36004,4,Mundo Mundo,False,16.1.1
DrMundo,36,36005,5,Executioner Mundo,False,16.1.1
DrMundo,36,36006,6,Rageborn Mundo,False,16.1.1
DrMundo,36,36007,7,TPA Mundo,False,16.1.1
DrMundo,36,36008,8,Pool Party Mundo,False,16.1.1
DrMundo,36,36009,9,El Macho Mundo,False,16.1.1
DrMundo,36,36010,10,Frozen Prince Mundo,True,16.1.1
DrMundo,36,36021,21,Street Demons Dr. Mundo,True,16.1.1
Ekko,245,245000,0,default,False,16.1.1
Ekko,245,245001,1,Sandstorm Ekko,True,16.1.1
Ekko,245,245002,2,Academy Ekko,False,16.1.1
Ekko,245,245003,3,PROJECT: Ekko,False,16.1.1
Ekko,245,245011,11,SKT T1 Ekko,False,16.1.1
Ekko,245,245012,12,Trick or Treat Ekko,True,16.1.1
Ekko,245,245019,19,True Damage Ekko,True,16.1.1
Ekko,245,245028,28,Pulsefire Ekko,True,16.1.1
Ekko,245,245036,36,Arcane Firelight Ekko,True,16.1.1
Ekko,245,245045,45,Star Guardian Ekko,True,16.1.1
Ekko,245,245046,46,Prestige Star Guardian Ekko,False,16.1.1
Ekko,245,245056,56,Breakout True Damage Ekko,False,16.1.1
Ekko,245,245057,57,Arcane Last Stand Ekko,True,16.1.1
Elise,60,60000,0,default,False,16.1.1
Elise,60,60001,1,Death Blossom Elise,False,16.1.1
Elise,60,60002,2,Victorious Elise,False,16.1.1
Elise,60,60003,3,Blood Moon Elise,False,16.1.1
Elise,60,60004,4,SKT T1 Elise,False,16.1.1
Elise,60,60005,5,Super Galaxy Elise,False,16.1.1
Elise,60,60006,6,Bewitching Elise,True,16.1.1
Elise,60,60015,15,Withered Rose Elise,True,16.1.1
Elise,60,60024,24,Coven Elise,True,16.1.1
Elise,60,60034,34,Masque of the Black Rose Elise,False,16.1.1
Evelynn,28,28000,0,default,False,16.1.1
Evelynn,28,28001,1,Shadow Evelynn,False,16.1.1
Evelynn,28,28002,2,Masquerade Evelynn,False,16.1.1
Evelynn,28,28003,3,Tango Evelynn,False,16.1.1
Evelynn,28,28004,4,Safecracker Evelynn,False,16.1.1
Evelynn,28,28005,5,Blood Moon Evelynn,False,16.1.1
Evelynn,28,28006,6,K/DA Evelynn,False,16.1.1
Evelynn,28,28007,7,Prestige K/DA Evelynn,False,16.1.1
Evelynn,28,28008,8,Sugar Rush Evelynn,True,16.1.1
Evelynn,28,28015,15,K/DA ALL OUT Evelynn,True,16.1.1
Evelynn,28,28024,24,Coven Evelynn,True,16.1.1
Evelynn,28,28031,31,Prestige K/DA Evelynn (2022),False,16.1.1
Evelynn,28,28032,32,Spirit Blossom Evelynn,True,16.1.1
Evelynn,28,28042,42,Soul Fighter Evelynn,True,16.1.1
Evelynn,28,28052,52,High Noon Evelynn,True,16.1.1
Evelynn,28,28053,53,Prestige High Noon Evelynn,False,16.1.1
Evelynn,28,28064,64,Nightbringer Evelynn,False,16.1.1
Ezreal,81,81000,0,default,False,16.1.1
Ezreal,81,81001,1,Nottingham Ezreal,False,16.1.1
Ezreal,81,81002,2,Striker Ezreal,False,16.1.1
Ezreal,81,81003,3,Frosted Ezreal,True,16.1.1
Ezreal,81,81004,4,Explorer Ezreal,False,16.1.1
Ezreal,81,81005,5,Pulsefire Ezreal,False,16.1.1
Ezreal,81,81006,6,TPA Ezreal,False,16.1.1
Ezreal,81,81007,7,Debonair Ezreal,True,16.1.1
Ezreal,81,81008,8,Ace of Spades Ezreal,False,16.1.1
Ezreal,81,81009,9,Arcade Ezreal,False,16.1.1
Ezreal,81,81018,18,Star Guardian Ezreal,False,16.1.1
Ezreal,81,81019,19,SSG Ezreal,True,16.1.1
Ezreal,81,81020,20,Pajama Guardian Ezreal,False,16.1.1
Ezreal,81,81021,21,Battle Academia Ezreal,True,16.1.1
Ezreal,81,81022,22,PsyOps Ezreal,False,16.1.1
Ezreal,81,81023,23,Prestige PsyOps Ezreal,False,16.1.1
Ezreal,81,81025,25,Porcelain Protector Ezreal,False,16.1.1
Ezreal,81,81033,33,Faerie Court Ezreal,False,16.1.1
Ezreal,81,81043,43,HEARTSTEEL Ezreal,False,16.1.1
Ezreal,81,81044,44,Heavenscale Ezreal,True,16.1.1
Ezreal,81,81054,54,Prestige Heavenscale Ezreal,False,16.1.1
Ezreal,81,81065,65,Masque of the Black Rose Ezreal,False,16.1.1
Fiddlesticks,9,9000,0,default,False,16.1.1
Fiddlesticks,9,9001,1,Spectral Fiddlesticks,False,16.1.1
Fiddlesticks,9,9002,2,Union Jack Fiddlesticks,False,16.1.1
Fiddlesticks,9,9003,3,Bandito Fiddlesticks,True,16.1.1
Fiddlesticks,9,9004,4,Pumpkinhead Fiddlesticks,False,16.1.1
Fiddlesticks,9,9005,5,Fiddle Me Timbers,False,16.1.1
Fiddlesticks,9,9006,6,Surprise Party Fiddlesticks,True,16.1.1
Fiddlesticks,9,9007,7,Dark Candy Fiddlesticks,False,16.1.1
Fiddlesticks,9,9008,8,Risen Fiddlesticks,False,16.1.1
Fiddlesticks,9,9009,9,Praetorian Fiddlesticks,True,16.1.1
Fiddlesticks,9,9027,27,Star Nemesis Fiddlesticks,True,16.1.1
Fiddlesticks,9,9037,37,Blood Moon Fiddlesticks,True,16.1.1
Fiddlesticks,9,9046,46,Flora Fatalis Fiddlesticks,True,16.1.1
Fiora,114,114000,0,default,False,16.1.1
Fiora,114,114001,1,Royal Guard Fiora,False,16.1.1
Fiora,114,114002,2,Nightraven Fiora,False,16.1.1
Fiora,114,114003,3,Headmistress Fiora,True,16.1.1
Fiora,114,114004,4,PROJECT: Fiora,True,16.1.1
Fiora,114,114005,5,Pool Party Fiora,True,16.1.1
Fiora,114,114022,22,Soaring Sword Fiora,False,16.1.1
Fiora,114,114023,23,Heartpiercer Fiora,True,16.1.1
Fiora,114,114031,31,iG Fiora,True,16.1.1
Fiora,114,114041,41,Pulsefire Fiora,False,16.1.1
Fiora,114,114050,50,Lunar Beast Fiora,False,16.1.1
Fiora,114,114051,51,Prestige Lunar Beast Fiora,False,16.1.1
Fiora,114,114060,60,Bewitching Fiora,False,16.1.1
Fiora,114,114069,69,Faerie Court Fiora,True,16.1.1
Fiora,114,114080,80,Dragonmancer Fiora,False,16.1.1
Fiora,114,114089,89,Battle Queen Fiora,True,16.1.1
Fiora,114,114098,98,Victorious Fiora,True,16.1.1
Fizz,105,105000,0,default,True,16.1.1
Fizz,105,105001,1,Atlantean Fizz,False,16.1.1
Fizz,105,105002,2,Tundra Fizz,False,16.1.1
Fizz,105,105003,3,Fisherman Fizz,False,16.1.1
Fizz,105,105004,4,Void Fizz,False,16.1.1
Fizz,105,105008,8,Cottontail Fizz,False,16.1.1
Fizz,105,105009,9,Super Galaxy Fizz,False,16.1.1
Fizz,105,105010,10,Omega Squad Fizz,True,16.1.1
Fizz,105,105014,14,Fuzz Fizz,False,16.1.1
Fizz,105,105015,15,Prestige Fuzz Fizz,False,16.1.1
Fizz,105,105016,16,Little Devil Fizz,True,16.1.1
Fizz,105,105025,25,Prestige Fuzz Fizz (2022),False,16.1.1
Fizz,105,105026,26,Astronaut Fizz,True,16.1.1
Fizz,105,105035,35,Rain Shepherd Fizz,True,16.1.1
Galio,3,3000,0,default,False,16.1.1
Galio,3,3001,1,Enchanted Galio,False,16.1.1
Galio,3,3002,2,Hextech Galio,False,16.1.1
Galio,3,3003,3,Commando Galio,False,16.1.1
Galio,3,3004,4,Gatekeeper Galio,False,16.1.1
Galio,3,3005,5,Debonair Galio,False,16.1.1
